GO	description	category	ERR2014354	ERR2014355	ERR2014356	ERR2014357	ERR2014358	ERR2014359	ERR2014360	ERR2014361	ERR2014362	ERR2014363	ERR2014364	ERR2014365	ERR2014366	ERR2014367	ERR2014368	ERR2014369	ERR2014370	ERR2014371	ERR2014372	ERR2014373	ERR2014374	ERR2014375	ERR2014376	ERR2014377	ERR2014378	ERR2014379	ERR2014380	ERR2014381	ERR2014382	ERR2014383	ERR2014384	ERR2014385	ERR2014386	ERR2014387	ERR2014388	ERR2014389	ERR2014390	ERR2014391	ERR2014392	ERR2014393
GO:0005506	iron ion binding	molecular function	18253	468	927	624	11780	5118	5737	5989	1183	5114	5248	21435	1075	16684	2203	4627	3229	12035	5672	937	4981	4586	7853	817	3899	3186	2446	1954	2249	6831	2176	1131	2005	1628	27200	1025	2202	2503	2941	5349
GO:0005507	copper ion binding	molecular function	1184	174	270	361	863	181	106	3685	439	537	715	367	667	1535	1096	2523	365	359	180	502	155	168	458	461	542	1563	923	1128	1808	363	755	346	603	719	478	755	57	90	182	192
GO:0005509	calcium ion binding	molecular function	1944	1812	4667	1877	2849	2287	5098	613	1341	185	359	612	3424	3809	38432	26145	378	830	939	8888	388	554	557	1852	2306	45500	12546	16308	36344	787	14988	2323	6730	16349	245	3980	275	872	429	1012
GO:0005515	protein binding	molecular function	23417	7834	22383	12237	30592	16465	21303	17630	7021	13852	13047	21937	9836	39251	86901	52263	10794	20402	20868	40504	12027	10950	18324	8473	18111	99273	36824	43288	64061	15540	87004	16897	43336	56524	24401	16674	8853	9280	11123	17344
GO:0005516	calmodulin binding	molecular function	21	21	70	44	23	29	41	5	9	2	7	1	21	12	143	109	5	13	29	33	4	4	1	17	64	115	43	50	71	28	62	15	25	78	1	22	4	19	4	3
GO:0005518	collagen binding	molecular function	1	1	0	0	2	2	0	0	2	2	1	2	2	26	0	4	0	2	5	0	0	2	12	29	1	5	7	16	12	0	1	0	0	0	0	0	1	1	3	0
GO:0005520	insulin-like growth factor binding	molecular function	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	1	2	0	2	0	3	1	1	1	0	1	0	0	0	0
GO:0005523	tropomyosin binding	molecular function	11	31	48	25	22	15	72	3	45	0	2	4	48	17	589	175	7	11	13	323	1	10	3	28	34	897	265	409	476	3	545	88	304	355	1	78	2	6	6	13
GO:0005524	ATP binding	molecular function	288424	19476	104643	99816	288152	270106	186039	352917	65821	210329	226447	283086	45495	342604	111051	239466	203443	286229	309787	50912	263931	221054	278959	52346	315414	191447	179710	139958	128171	265483	223996	137273	211565	58968	408412	40203	228014	220080	212692	257668
GO:0005525	GTP binding	molecular function	49298	4749	25727	17179	51325	39364	33546	55666	10320	35640	48321	46535	5756	63163	22717	56936	40443	48531	36738	9699	27337	30352	54163	5206	41265	29943	23995	19206	16999	37393	45229	19231	35711	12009	69203	5527	30881	30240	27608	38058
GO:0005537	mannose binding	molecular function	7	5	3	6	7	1	1	0	1	0	1	0	2	2	2	4	1	0	1	3	0	3	0	2	1	1	2	0	2	0	0	2	1	1	0	2	0	0	0	2
GO:0005540	hyaluronic acid binding	molecular function	52	57	203	108	166	43	8	3	6	1	3	2	18	58	83	129	1	4	6	36	3	23	0	6	0	1	1	6	11	4	8	3	8	34	3	25	2	13	2	10
GO:0005542	folic acid binding	molecular function	48	2	1	4	603	46	9	686	9	557	216	1288	2	1771	0	1	64	99	308	1	102	53	321	1	262	0	67	3	1	501	0	2	1	0	943	3	30	143	56	276
GO:0005543	phospholipid binding	molecular function	73	25	168	51	89	17	43	14	15	2	8	14	16	106	273	346	8	22	25	127	5	2	4	18	12	247	54	101	144	2	213	17	97	209	10	50	0	14	2	6
GO:0005544	calcium-dependent phospholipid binding	molecular function	202	328	1147	297	430	1424	3664	75	388	29	113	89	1175	1492	21147	14801	160	382	119	3455	75	46	58	394	1020	23660	7256	7778	22130	27	6514	626	2733	8307	78	1237	79	264	171	605
GO:0005545	1-phosphatidylinositol binding	molecular function	32	14	109	48	30	12	28	6	24	1	1	2	24	49	134	216	3	12	5	63	3	6	13	10	18	97	29	51	60	5	205	101	129	85	2	21	8	17	1	3
GO:0005549	odorant binding	molecular function	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	2	1	1	1	0	0	0
GO:0005576	extracellular region	cellular component	3221	1703	6898	2978	4149	2759	2635	238	753	159	349	5033	1009	3014	10452	10342	241	425	459	6539	773	766	269	906	806	11896	3612	4719	8174	197	9749	1651	4659	7188	67072	2186	165	966	345	537
GO:0005577	fibrinogen complex	cellular component	1	1	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	3	0	1	0	0	1	0	2	0	0	1	1
GO:0005578	proteinaceous extracellular matrix	cellular component	6	32	14	24	6	4	10	4	13	0	3	0	32	0	17	17	0	1	3	19	1	7	2	22	1	8	6	12	14	4	19	27	15	12	1	17	0	6	1	3
GO:0005579	membrane attack complex	cellular component	0	2	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4	1	0	0	0	1	1	0	0	0
GO:0005581	collagen trimer	cellular component	12	38	26	28	8	6	0	3	16	2	2	2	34	1	16	8	1	9	4	7	4	3	1	27	4	0	2	4	13	4	20	9	8	14	0	26	0	0	3	1
GO:0005615	extracellular space	cellular component	2240	682	4427	1039	2827	870	491	43	240	7	32	108	199	794	3042	3904	127	135	167	2278	122	245	57	195	301	3959	1268	2049	2326	23	1074	180	684	1188	47	880	48	415	86	101
GO:0005618	cell wall	cellular component	269	48	203	481	239	249	172	305	328	97	138	154	419	2245	805	4679	166	346	601	201	132	448	6336	64	1024	3	66	239	3	489	712	935	930	264	368	155	877	3128	76	326
GO:0005622	intracellular	cellular component	287261	18658	136361	68120	239904	263381	254763	261118	52586	214667	239393	262076	11711	360093	74242	286990	219915	299791	189972	30513	199932	184602	278800	12458	237233	154071	266596	134780	125917	181964	228167	97573	200500	48341	453350	20283	251048	227859	157054	224480
GO:0005634	nucleus	cellular component	1122	1230	2700	1448	1606	684	1263	237	736	48	172	174	1457	1110	6279	4433	120	281	265	2854	189	312	121	885	443	5694	1866	3130	3159	156	4859	1041	2571	3725	62	1675	87	285	180	187
GO:0005639	integral component of nuclear inner membrane	cellular component	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0005643	nuclear pore	cellular component	79	26	170	53	82	16	16	2	15	1	13	5	37	91	138	141	4	8	4	50	1	9	1	9	15	205	56	122	103	3	84	16	61	87	1	26	3	2	2	3
GO:0005663	DNA replication factor C complex	cellular component	0	1	5	0	2	0	1	0	4	0	0	1	2	0	3	0	0	0	0	2	0	0	0	0	0	2	0	1	3	1	2	0	2	4	0	2	1	0	0	0
GO:0005664	nuclear origin of replication recognition complex	cellular component	1	3	1	4	0	0	2	1	2	0	0	1	7	0	2	5	0	1	1	4	0	1	0	3	0	1	1	0	2	2	3	1	3	2	0	3	0	0	0	0
GO:0005665	DNA-directed RNA polymerase II, core complex	cellular component	2	2	5	1	0	2	2	0	5	0	0	0	2	0	6	6	0	0	0	2	0	1	0	2	0	2	4	2	4	1	6	3	2	6	0	0	0	0	0	1
GO:0005666	DNA-directed RNA polymerase III complex	cellular component	1	1	2	3	1	1	1	1	2	0	0	0	4	2	0	6	0	0	0	0	1	2	0	4	1	3	0	3	1	0	0	0	0	5	0	7	0	0	0	0
GO:0005667	transcription factor complex	cellular component	39	46	55	38	23	11	26	5	21	2	2	3	57	20	253	129	2	6	6	106	4	16	2	49	16	263	102	150	129	7	178	45	90	118	2	61	1	6	3	4
GO:0005668	RNA polymerase transcription factor SL1 complex	cellular component	0	1	4	4	1	1	1	2	0	0	1	0	0	5	5	11	0	0	0	4	0	0	0	0	0	1	6	10	1	0	4	3	0	0	0	3	0	0	0	0
GO:0005669	transcription factor TFIID complex	cellular component	8	11	24	13	7	3	3	0	3	0	1	2	7	6	26	28	0	2	3	17	1	1	3	10	1	23	5	13	16	3	31	14	8	16	0	17	0	0	0	6
GO:0005672	transcription factor TFIIA complex	cellular component	9	13	13	21	5	7	6	4	7	0	0	1	22	6	32	27	0	7	4	22	2	3	0	10	1	27	15	32	31	2	18	7	13	16	0	9	3	2	2	3
GO:0005674	transcription factor TFIIF complex	cellular component	3	0	6	2	7	1	4	0	4	0	2	0	1	1	8	12	0	0	0	20	0	2	0	1	1	17	2	7	4	0	15	11	10	3	0	3	0	0	0	0
GO:0005680	anaphase-promoting complex	cellular component	6	3	12	9	6	3	1	1	3	0	0	3	18	3	6	20	0	2	0	2	1	3	1	7	2	8	1	4	6	4	3	7	3	5	0	10	0	0	0	2
GO:0005681	spliceosomal complex	cellular component	16	24	30	20	25	7	6	6	11	0	1	0	21	8	43	36	0	4	9	24	5	9	0	20	3	45	16	19	18	0	45	14	16	41	0	19	0	1	0	4
GO:0005685	U1 snRNP	cellular component	7	2	5	2	5	2	4	0	2	0	2	1	4	5	16	12	0	2	1	9	0	1	0	4	2	29	5	9	9	2	8	1	10	8	0	2	0	2	0	0
GO:0005694	chromosome	cellular component	3348	522	2458	2512	2848	4723	3460	4270	1220	2899	3118	3898	854	3958	3112	7002	2644	4135	3759	1425	3381	3347	4148	863	3739	2670	1873	2053	1911	3589	6016	3807	5726	2101	6841	851	3511	3422	2590	3667
GO:0005727	extrachromosomal circular DNA	cellular component	28	0	3	0	113	6	2	188	13	105	2450	105	192	1941	796	76	76	323	66	4	141	1357	13	14	9	106	182	151	162	113	647	127	151	409	62	1	17	40	39	94
GO:0005730	nucleolus	cellular component	0	6	10	10	6	2	2	1	2	0	1	4	20	10	3	12	1	0	0	4	0	3	1	12	0	5	2	4	4	1	3	1	1	3	3	9	0	0	1	2
GO:0005732	small nucleolar ribonucleoprotein complex	cellular component	4	5	12	13	4	0	1	3	8	0	0	1	11	9	6	13	0	1	2	11	0	0	3	6	0	3	1	3	4	5	8	4	7	7	0	14	0	4	0	0
GO:0005737	cytoplasm	cellular component	76408	3934	21782	25730	67403	72574	45835	84109	14515	53814	58148	60320	7408	69963	28146	59334	52139	70499	117684	12558	61717	68986	90969	8798	104691	44148	40842	32935	26266	55745	56949	28466	46631	14985	84146	8976	54189	44256	69349	72184
GO:0005739	mitochondrion	cellular component	40	57	83	53	62	17	23	11	58	5	6	5	104	69	133	165	4	10	21	86	8	18	29	62	12	168	62	68	111	9	104	46	60	74	6	81	3	8	11	5
GO:0005740	mitochondrial envelope	cellular component	30	39	68	59	32	28	64	6	34	0	11	12	58	36	432	208	8	13	12	232	14	16	13	63	27	494	142	282	329	7	368	127	222	215	6	78	7	2	6	10
GO:0005741	mitochondrial outer membrane	cellular component	19	35	47	32	26	14	66	8	25	3	2	5	51	35	264	89	2	14	13	107	2	7	1	51	22	283	102	128	163	6	336	45	148	160	2	75	6	11	6	3
GO:0005742	mitochondrial outer membrane translocase complex	cellular component	5	14	5	13	7	5	9	1	5	1	2	0	16	11	31	37	0	0	4	13	0	2	1	10	4	34	13	23	18	2	19	9	19	23	0	13	0	0	0	0
GO:0005743	mitochondrial inner membrane	cellular component	17	32	41	33	15	3	10	6	14	0	2	5	56	25	72	151	0	3	6	40	8	7	2	24	5	84	24	33	58	4	49	24	42	56	2	50	18	4	3	3
GO:0005744	mitochondrial inner membrane presequence translocase complex	cellular component	0	2	0	0	0	0	0	0	3	0	0	0	5	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3	0	0	1	0
GO:0005746	mitochondrial respiratory chain	cellular component	9	24	23	14	11	7	5	4	11	0	5	0	18	12	26	25	1	0	7	19	1	6	3	16	1	43	14	21	26	0	24	10	11	21	0	22	0	1	0	4
GO:0005747	mitochondrial respiratory chain complex I	cellular component	1	7	9	9	8	4	1	2	4	0	0	1	15	7	15	29	0	0	2	15	3	7	0	12	1	24	9	15	16	2	13	7	6	10	0	14	0	0	1	0
GO:0005750	mitochondrial respiratory chain complex III	cellular component	12	15	44	13	32	8	15	6	7	0	8	5	20	42	84	157	0	3	5	52	2	4	1	12	3	98	24	42	52	2	49	23	27	44	0	19	0	4	5	1
GO:0005751	mitochondrial respiratory chain complex IV	cellular component	5	7	6	8	3	0	1	0	2	0	0	1	15	8	16	33	0	1	2	9	0	0	0	5	1	18	6	8	14	0	15	2	15	9	1	11	0	1	1	0
GO:0005758	mitochondrial intermembrane space	cellular component	0	1	10	2	1	2	1	0	0	0	0	0	2	0	2	3	0	0	0	0	0	1	0	0	0	2	1	3	4	0	0	0	2	1	0	2	0	0	1	0
GO:0005759	mitochondrial matrix	cellular component	8	12	19	15	6	1	2	4	9	3	1	1	13	12	22	16	2	2	4	6	0	1	0	11	2	13	10	4	7	2	11	17	7	13	1	16	1	0	0	0
GO:0005760	gamma DNA polymerase complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
GO:0005761	mitochondrial ribosome	cellular component	0	4	3	3	1	0	4	0	1	0	0	0	3	1	11	6	0	1	0	2	0	3	0	3	0	6	4	6	0	1	4	3	3	2	2	3	0	0	0	0
GO:0005763	mitochondrial small ribosomal subunit	cellular component	1	3	3	2	0	1	1	0	0	0	0	0	9	0	5	1	0	0	0	5	0	2	0	2	2	2	0	0	4	2	0	1	1	3	0	1	1	0	2	0
GO:0005764	lysosome	cellular component	8	10	36	17	20	2	4	0	1	0	1	1	7	7	28	25	2	2	1	19	0	2	0	5	2	8	3	10	8	0	23	3	11	16	1	15	0	0	1	1
GO:0005773	vacuole	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005777	peroxisome	cellular component	13	17	22	15	15	10	26	2	19	0	0	1	18	20	254	121	4	8	7	99	1	3	2	9	31	369	71	186	178	1	233	26	145	160	0	45	0	3	3	3
GO:0005779	integral component of peroxisomal membrane	cellular component	0	5	6	10	1	0	1	1	1	0	0	0	6	1	2	8	0	2	1	6	0	1	0	3	0	2	1	5	1	0	3	5	3	3	0	10	0	0	0	0
GO:0005783	endoplasmic reticulum	cellular component	124	278	684	247	185	508	1573	90	220	38	151	88	678	697	11456	5897	102	288	95	3606	108	90	90	537	707	13864	4057	5573	9112	24	8046	729	2760	5332	45	1237	75	175	129	340
GO:0005785	signal recognition particle receptor complex	cellular component	5	2	4	5	5	3	1	2	2	1	0	1	0	6	8	6	0	0	1	7	0	0	0	3	1	7	6	5	10	0	8	0	3	5	0	6	2	2	0	0
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	cellular component	8	13	27	9	18	6	6	2	6	1	6	0	6	7	50	38	1	2	0	36	1	2	0	9	3	62	16	23	31	0	45	10	11	38	1	17	1	2	0	1
GO:0005787	signal peptidase complex	cellular component	8	5	16	6	9	1	12	2	4	0	0	0	9	5	79	42	1	1	1	29	0	2	0	4	3	73	34	46	39	3	63	10	42	41	0	21	0	1	2	1
GO:0005788	endoplasmic reticulum lumen	cellular component	3	3	4	2	3	0	1	1	2	0	0	0	8	3	9	3	0	1	1	4	0	0	0	1	1	2	0	3	2	0	6	0	1	1	0	3	1	0	1	1
GO:0005789	endoplasmic reticulum membrane	cellular component	25	47	100	54	27	23	45	5	52	1	8	10	97	42	779	530	13	16	20	388	11	18	16	51	66	822	229	406	523	4	446	62	216	485	3	136	11	17	12	6
GO:0005794	Golgi apparatus	cellular component	49	103	77	89	33	25	49	13	65	2	4	11	182	23	286	103	10	11	14	95	15	22	5	94	36	142	54	137	139	12	106	54	70	108	2	111	5	8	15	11
GO:0005795	Golgi stack	cellular component	0	7	7	5	5	0	1	0	3	0	0	0	10	1	9	13	0	0	0	4	2	1	0	9	0	5	1	4	5	2	18	7	3	4	0	5	0	1	0	2
GO:0005801	cis-Golgi network	cellular component	0	0	0	0	0	0	1	0	0	0	0	1	1	0	7	4	0	0	0	1	0	0	0	1	0	1	5	3	1	0	1	0	2	0	0	2	0	2	0	1
GO:0005802	trans-Golgi network	cellular component	0	6	5	4	1	3	12	0	9	0	0	2	6	0	112	34	3	1	5	57	3	2	3	6	11	170	31	69	71	1	102	30	84	79	1	26	1	3	3	2
GO:0005813	centrosome	cellular component	10	24	40	35	24	9	7	7	16	1	1	2	37	17	22	30	1	1	11	22	8	8	2	20	0	7	9	16	9	3	17	14	12	18	1	23	2	3	2	3
GO:0005815	microtubule organizing center	cellular component	3	4	10	8	10	4	2	1	1	0	0	0	10	2	7	10	0	2	0	9	1	3	0	11	2	7	0	9	9	0	3	1	3	3	2	6	0	4	1	0
GO:0005819	spindle	cellular component	3	1	4	3	4	1	0	2	3	0	0	0	3	5	2	2	0	0	0	1	0	1	0	0	0	0	1	1	2	0	1	1	0	0	0	2	0	0	0	1
GO:0005829	cytosol	cellular component	43	1	21	28	37	11	13	162	24	41	47	29	30	64	41	62	34	37	13	21	37	33	39	25	39	32	23	25	20	26	55	46	67	9	47	21	24	13	28	45
GO:0005833	hemoglobin complex	cellular component	1	1	1	1	0	4	0	86	0	0	0	0	5	4	6	7	5	2	2	6	0	2	3	1	1	1	0	4	0	0	15	2	0	0	2	3	0	1	0	0
GO:0005834	heterotrimeric G-protein complex	cellular component	18	18	54	32	24	7	17	0	6	2	3	5	21	14	54	61	0	1	3	26	1	11	0	16	2	43	11	28	22	0	33	19	21	25	0	11	0	7	1	2
GO:0005835	fatty acid synthase complex	cellular component	17	0	0	0	19	171	34	7	1	11	13	11	0	5	0	0	27	46	30	0	18	16	13	0	39	0	1	0	0	110	0	0	0	0	17	0	57	28	52	43
GO:0005839	proteasome core complex	cellular component	79	38	147	117	144	20	53	18	43	2	6	11	59	147	201	366	18	14	24	81	10	25	36	30	50	139	60	91	97	8	220	110	175	99	5	59	27	38	4	4
GO:0005840	ribosome	cellular component	450590	27396	196806	114504	370315	426703	401465	381241	85036	297001	342439	352470	17072	596408	114682	450398	350288	426205	281533	43019	279662	270707	423778	15398	382053	233503	370704	208238	186733	273272	318745	143678	288590	68698	618921	29544	387376	360796	233549	307374
GO:0005845	mRNA cap binding complex	cellular component	2	4	9	6	1	2	3	2	2	0	0	1	6	1	9	23	0	3	0	6	1	2	0	6	1	10	2	6	9	0	4	3	1	4	0	6	0	1	0	0
GO:0005849	mRNA cleavage factor complex	cellular component	0	1	2	2	1	1	3	1	0	1	0	0	2	1	3	4	0	0	1	2	0	0	0	2	0	7	2	1	2	0	9	0	0	6	0	1	0	0	0	1
GO:0005852	eukaryotic translation initiation factor 3 complex	cellular component	38	37	89	69	49	26	31	6	23	2	3	2	74	26	241	131	1	9	12	106	6	9	5	42	15	216	76	107	164	3	232	47	127	166	3	64	7	12	6	7
GO:0005853	eukaryotic translation elongation factor 1 complex	cellular component	31	29	48	19	31	14	21	5	6	1	3	3	24	32	102	97	2	11	4	45	3	3	1	9	11	98	39	44	61	3	69	18	53	47	4	15	1	3	2	2
GO:0005856	cytoskeleton	cellular component	176	203	472	213	232	127	517	33	174	5	30	40	242	160	2829	1738	83	123	87	989	51	51	55	148	195	3111	922	1482	1970	16	2123	317	1030	1608	13	420	36	81	85	70
GO:0005861	troponin complex	cellular component	2	6	7	6	0	0	3	0	1	1	0	0	5	0	2	4	0	0	0	2	0	1	0	2	0	0	0	1	2	1	0	2	1	4	0	4	0	0	1	0
GO:0005868	cytoplasmic dynein complex	cellular component	2	2	2	5	1	0	3	0	4	0	0	2	8	0	32	22	0	0	0	16	0	1	0	5	1	28	3	18	17	2	20	5	4	17	0	5	0	0	0	0
GO:0005869	dynactin complex	cellular component	1	0	2	1	1	2	2	1	0	0	0	0	1	0	10	5	0	0	2	6	0	0	0	0	0	7	4	1	5	0	6	0	2	4	0	4	0	0	0	0
GO:0005871	kinesin complex	cellular component	1	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	5	2	1	1	0	2	0	1	0	0
GO:0005874	microtubule	cellular component	74	73	121	70	64	51	73	46	56	10	20	22	140	39	372	184	12	19	24	162	15	18	17	77	23	387	112	157	216	25	276	74	122	145	11	101	6	13	13	15
GO:0005875	microtubule associated complex	cellular component	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0	2	0	0	0	0	0	0
GO:0005876	spindle microtubule	cellular component	1	1	1	5	0	0	0	0	4	0	2	0	2	0	3	2	1	0	0	3	0	0	0	0	0	2	0	6	1	0	3	1	1	2	0	2	0	0	0	0
GO:0005882	intermediate filament	cellular component	313	1072	1319	779	261	1506	6995	116	1491	30	208	180	1827	856	29564	12127	730	1049	449	10950	261	215	501	1005	2397	31957	6032	13967	18200	43	24106	4322	13514	20233	91	3257	322	653	627	775
GO:0005884	actin filament	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0005885	Arp2/3 protein complex	cellular component	286	127	671	225	357	70	139	42	32	11	33	35	85	310	1041	1159	19	33	56	463	18	41	6	39	44	1174	257	484	714	13	669	66	285	705	14	142	7	56	8	25
GO:0005886	plasma membrane	cellular component	4018	703	1898	1694	4009	5473	1958	5401	1116	6112	6032	6106	1334	4780	1593	3401	3332	8495	2110	772	1320	2235	4473	1072	2313	5122	2810	3182	3086	3521	4450	3433	3860	1225	8760	1182	5010	3037	2863	5310
GO:0005887	integral component of plasma membrane	cellular component	1150	85	190	288	2519	644	913	1083	229	1088	631	2074	254	1245	351	737	690	879	1066	198	1431	1224	936	1413	632	2206	2190	1481	1794	1833	512	427	508	119	1205	515	1919	1561	1143	1320
GO:0005890	sodium:potassium-exchanging ATPase complex	cellular component	10	37	43	29	46	26	50	7	33	0	6	5	57	22	678	481	13	17	12	237	13	6	8	47	51	710	245	372	503	1	515	65	213	646	1	107	5	13	7	15
GO:0005891	voltage-gated calcium channel complex	cellular component	3	6	12	10	6	4	0	1	5	0	0	0	16	1	8	2	0	1	0	5	1	3	0	5	2	2	2	0	1	1	1	3	2	6	0	9	2	0	0	1
GO:0005911	cell-cell junction	cellular component	7	14	11	15	2	1	1	2	7	0	1	0	23	0	6	6	1	1	2	6	2	0	0	17	0	4	6	5	8	4	1	1	3	7	0	13	0	0	0	2
GO:0005922	connexon complex	cellular component	2	16	13	18	1	7	2	2	7	0	1	6	24	12	55	83	6	3	0	13	2	0	3	24	8	48	49	36	108	0	11	9	6	12	1	21	3	4	2	2
GO:0005923	bicellular tight junction	cellular component	7	16	8	7	5	4	9	1	4	0	0	3	12	2	56	53	1	3	3	22	2	3	12	6	6	41	16	23	54	2	47	9	21	53	1	12	0	1	3	2
GO:0005925	focal adhesion	cellular component	15	14	30	26	23	5	14	3	5	1	0	1	16	21	212	125	3	7	4	59	1	2	13	6	33	190	29	110	119	0	96	23	60	215	0	43	11	64	2	3
GO:0005940	septin ring	cellular component	26	20	267	235	18	55	149	24	150	28	5	6	37	238	303	636	14	7	139	184	19	145	196	166	105	720	1326	529	574	20	348	202	431	109	16	225	60	54	15	27
GO:0005944	phosphatidylinositol 3-kinase complex, class IB	cellular component	27	29	145	51	37	21	3	3	7	2	1	3	8	53	32	153	1	2	2	31	2	5	0	5	0	2	3	0	15	2	6	2	6	26	0	12	0	8	0	3
GO:0005956	protein kinase CK2 complex	cellular component	6	2	17	7	5	2	5	1	4	0	0	1	4	8	43	28	2	0	0	30	0	1	2	4	4	31	15	19	15	0	42	14	31	23	0	15	0	2	3	1
GO:0005964	phosphorylase kinase complex	cellular component	0	4	1	2	1	0	2	0	1	0	0	1	4	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0
GO:0005968	Rab-protein geranylgeranyltransferase complex	cellular component	0	0	3	0	2	0	0	0	1	0	0	0	3	0	2	4	0	0	0	1	1	0	0	1	0	3	0	1	6	0	1	0	6	1	0	1	0	1	0	0
GO:0005975	carbohydrate metabolic process	biological process	107423	12007	78958	79978	121937	129620	107604	165872	37120	89602	103339	104005	17057	136446	64913	223482	90689	112522	172700	25112	158228	146141	188129	20910	161027	102624	103595	72435	66362	123892	131237	69594	123896	27624	155431	20084	127702	146804	135148	158063
GO:0005976	polysaccharide metabolic process	biological process	40	3	4	3	50	10	2	18	2	5	12	19	12	0	1	0	5	47	0	4	0	3	1	5	8	1	1	0	3	8	0	3	1	1	153	3	69	24	2	71
GO:0005978	glycogen biosynthetic process	biological process	665	21	38	18	645	230	129	1004	15	451	372	1060	31	1110	210	78	269	703	562	126	352	478	1457	30	154	228	87	92	141	686	173	18	70	97	600	41	100	159	124	819
GO:0005985	sucrose metabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005991	trehalose metabolic process	biological process	2	2	1	1	1	0	1	0	0	0	0	0	7	1	2	9	0	2	0	0	0	0	2	2	0	0	0	2	1	38	0	0	0	0	0	2	0	2	0	0
GO:0005992	trehalose biosynthetic process	biological process	0	0	0	0	8	0	0	12	0	4	0	13	7	119	0	47	0	0	0	0	1	0	0	0	0	0	0	0	6	21	2	0	4	0	6	0	0	0	1	0
GO:0005996	monosaccharide metabolic process	biological process	1563	0	3	28	674	526	385	1018	37	600	168	694	1	362	159	43	228	165	666	290	1524	936	418	16	1649	7	17	24	2	736	3	2	7	2	1055	97	943	829	1500	7557
GO:0006000	fructose metabolic process	biological process	284	114	486	151	404	102	101	25	18	7	19	19	28	208	497	512	15	32	23	186	12	32	9	23	20	237	91	161	152	3	269	30	148	239	3	56	3	42	4	17
GO:0006001	fructose catabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	4	0	0	0	0	0	0	0	1	0	6	3	0	2	0	3	0	2	1	0	0	0	1	0	0
GO:0006002	fructose 6-phosphate metabolic process	biological process	1008	170	1431	1477	1336	416	670	1285	893	701	1632	1658	218	1767	2638	4299	1155	1886	474	1012	245	341	2025	190	907	5009	4260	2659	2674	785	5324	3218	4876	1222	3092	378	1117	855	652	915
GO:0006003	fructose 2,6-bisphosphate metabolic process	biological process	55	23	96	29	64	17	18	6	2	2	4	0	3	31	81	74	1	6	2	28	2	4	0	4	3	36	21	31	15	2	37	4	18	34	0	11	1	5	1	4
GO:0006004	fucose metabolic process	biological process	46	0	1	1	379	22	1	701	13	1100	233	533	1	1	2	2	472	243	52	0	587	150	887	0	43	0	2	1	1	439	1	0	1	1	9	2	0	0	547	170
GO:0006006	glucose metabolic process	biological process	647	72	288	412	582	2495	1698	440	630	726	387	1031	506	565	455	1355	645	569	2361	322	1383	1092	909	500	1597	2413	1968	1319	1191	2053	1151	928	1147	271	889	370	1546	1489	1329	1470
GO:0006007	glucose catabolic process	biological process	1915	0	0	4	2052	231	59	799	16	313	348	1666	0	3018	7	91	298	530	1821	1	234	132	644	0	598	1	29	0	1	687	3	0	2	0	1159	0	153	159	193	181
GO:0006011	UDP-glucose metabolic process	biological process	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0006012	galactose metabolic process	biological process	136	0	0	7	80	227	122	200	25	63	72	65	7	68	8	19	39	99	289	9	100	69	180	123	351	94	157	80	80	672	0	2	2	1	34	34	60	281	95	236
